! fr(GHz) Q Rsh(MOhm)
! Cavities
0.200222 195. 2.86
0.200222 156. 1.84 
0.629 500. 0.388
0.800888 390. 1.94 
! Kickers
0.044 10. 0.026 
0.15 1. 0.001
0.31 5. 0.002
0.346 10. 0.001
0.55 1. 0.005
0.81 1. 0.0205
1.5 1. 0.012
3.0 1. 0.0145
! BPMs
0.885 482. 0.0146
0.892 493. 0.0198
1.052 773. 0.1597
1.062 773. 0.190
1.069 654. 0.0454
1.092 667. 0.057
1.185 610. 0.0116
1.215 624. 0.00125
1.598 672. 0.0426
1.613 686. 0.5975
1.859 896. 0.2951
1.96 1993. 0.0721 
! Between Zs
! Flanges
1.21 315. 0.633
1.28 200. 0.499
1.41 134. 0.722
1.41 268. 0.160
1.41 143. 0.133
1.41 285. 0.030
1.41 242. 0.449 
1.41 1828. 0.377 
1.57 55. 0.0174
1.61 980. 0.588
1.62 60. 0.061 
1.80 881. 0.651
1.89 175. 0.187 
