1.20000000000000+0.00000000000000i	0.00000000000000+0.00152968000000000i
1.30000000000000+0.00000000000000i	0.00000000000000+0.00165091000000000i
1.40000000000000+0.00000000000000i	0.00000000000000+0.00177166000000000i
1.50000000000000+0.00000000000000i	0.00000000000000+0.00189199000000000i
1.60000000000000+0.00000000000000i	0.00000000000000+0.00201192000000000i
1.70000000000000+0.00000000000000i	0.00000000000000+0.00213147000000000i
1.80000000000000+0.00000000000000i	0.00000000000000+0.00225067000000000i
1.90000000000000+0.00000000000000i	0.00000000000000+0.00236954000000000i
2.00000000000000+0.00000000000000i	0.00000000000000+0.00248808000000000i
2.10000000000000+0.00000000000000i	0.00000000000000+0.00260633000000000i
2.20000000000000+0.00000000000000i	0.00000000000000+0.00272429000000000i
2.30000000000000+0.00000000000000i	0.00000000000000+0.00284198000000000i
2.40000000000000+0.00000000000000i	0.00000000000000+0.00295941000000000i
2.50000000000000+0.00000000000000i	0.00000000000000+0.00307658000000000i
2.60000000000000+0.00000000000000i	0.00000000000000+0.00319352000000000i
2.70000000000000+0.00000000000000i	0.00000000000000+0.00331022000000000i
2.80000000000000+0.00000000000000i	0.00000000000000+0.00342670000000000i
2.90000000000000+0.00000000000000i	0.00000000000000+0.00354297000000000i
3.00000000000000+0.00000000000000i	0.00000000000000+0.00365903000000000i
3.10000000000000+0.00000000000000i	0.00000000000000+0.00377489000000000i
3.20000000000000+0.00000000000000i	0.00000000000000+0.00389056000000000i
3.30000000000000+0.00000000000000i	0.00000000000000+0.00400604000000000i
3.40000000000000+0.00000000000000i	0.00000000000000+0.00412133000000000i
3.50000000000000+0.00000000000000i	0.00000000000000+0.00423645000000000i
3.60000000000000+0.00000000000000i	0.00000000000000+0.00435140000000000i
3.70000000000000+0.00000000000000i	0.00000000000000+0.00446618000000000i
3.80000000000000+0.00000000000000i	0.00000000000000+0.00458080000000000i
3.90000000000000+0.00000000000000i	0.00000000000000+0.00469526000000000i
4.00000000000000+0.00000000000000i	0.00000000000000+0.00480956000000000i
4.10000000000000+0.00000000000000i	0.00000000000000+0.00492372000000000i
4.20000000000000+0.00000000000000i	0.00000000000000+0.00503773000000000i
4.30000000000000+0.00000000000000i	0.00000000000000+0.00515159000000000i
4.40000000000000+0.00000000000000i	0.00000000000000+0.00526532000000000i
4.50000000000000+0.00000000000000i	0.00000000000000+0.00537891000000000i
4.60000000000000+0.00000000000000i	0.00000000000000+0.00549237000000000i
4.70000000000000+0.00000000000000i	0.00000000000000+0.00560569000000000i
4.80000000000000+0.00000000000000i	0.00000000000000+0.00571889000000000i
4.90000000000000+0.00000000000000i	0.00000000000000+0.00583196000000000i
5.00000000000000+0.00000000000000i	0.00000000000000+0.00594491000000000i
5.10000000000000+0.00000000000000i	0.00000000000000+0.00605774000000000i
5.20000000000000+0.00000000000000i	0.00000000000000+0.00617045000000000i
5.30000000000000+0.00000000000000i	0.00000000000000+0.00628305000000000i
5.40000000000000+0.00000000000000i	0.00000000000000+0.00639553000000000i
5.50000000000000+0.00000000000000i	0.00000000000000+0.00650790000000000i
5.60000000000000+0.00000000000000i	0.00000000000000+0.00662016000000000i
5.70000000000000+0.00000000000000i	0.00000000000000+0.00673232000000000i
5.80000000000000+0.00000000000000i	0.00000000000000+0.00684437000000000i
5.90000000000000+0.00000000000000i	0.00000000000000+0.00695632000000000i
6.00000000000000+0.00000000000000i	0.00000000000000+0.00706816000000000i
6.10000000000000+0.00000000000000i	0.00000000000000+0.00717990000000000i
6.20000000000000+0.00000000000000i	0.00000000000000+0.00729155000000000i
6.30000000000000+0.00000000000000i	0.00000000000000+0.00740310000000000i
6.40000000000000+0.00000000000000i	0.00000000000000+0.00751455000000000i
6.50000000000000+0.00000000000000i	0.00000000000000+0.00762591000000000i
6.60000000000000+0.00000000000000i	0.00000000000000+0.00773718000000000i
6.70000000000000+0.00000000000000i	0.00000000000000+0.00784835000000000i
6.80000000000000+0.00000000000000i	0.00000000000000+0.00795944000000000i
6.90000000000000+0.00000000000000i	0.00000000000000+0.00807044000000000i
7.00000000000000+0.00000000000000i	0.00000000000000+0.00818135000000000i
7.10000000000000+0.00000000000000i	0.00000000000000+0.00829217000000000i
7.20000000000000+0.00000000000000i	0.00000000000000+0.00840291000000000i
7.30000000000000+0.00000000000000i	0.00000000000000+0.00851357000000000i
7.40000000000000+0.00000000000000i	0.00000000000000+0.00862414000000000i
7.50000000000000+0.00000000000000i	0.00000000000000+0.00873464000000000i
7.60000000000000+0.00000000000000i	0.00000000000000+0.00884505000000000i
7.70000000000000+0.00000000000000i	0.00000000000000+0.00895538000000000i
7.80000000000000+0.00000000000000i	0.00000000000000+0.00906564000000000i
7.90000000000000+0.00000000000000i	0.00000000000000+0.00917582000000000i
8.00000000000000+0.00000000000000i	0.00000000000000+0.00928592000000000i
8.10000000000000+0.00000000000000i	0.00000000000000+0.00939595000000000i
8.20000000000000+0.00000000000000i	0.00000000000000+0.00950590000000000i
8.30000000000000+0.00000000000000i	0.00000000000000+0.00961578000000000i
8.40000000000000+0.00000000000000i	0.00000000000000+0.00972559000000000i
8.50000000000000+0.00000000000000i	0.00000000000000+0.00983532000000000i
8.60000000000000+0.00000000000000i	0.00000000000000+0.00994499000000000i
8.70000000000000+0.00000000000000i	0.00000000000000+0.0100546000000000i
8.80000000000000+0.00000000000000i	0.00000000000000+0.0101641000000000i
8.90000000000000+0.00000000000000i	0.00000000000000+0.0102736000000000i
9.00000000000000+0.00000000000000i	0.00000000000000+0.0103830000000000i
9.10000000000000+0.00000000000000i	0.00000000000000+0.0104923000000000i
9.20000000000000+0.00000000000000i	0.00000000000000+0.0106015000000000i
9.30000000000000+0.00000000000000i	0.00000000000000+0.0107107000000000i
9.40000000000000+0.00000000000000i	0.00000000000000+0.0108199000000000i
9.50000000000000+0.00000000000000i	0.00000000000000+0.0109289000000000i
9.60000000000000+0.00000000000000i	0.00000000000000+0.0110379000000000i
9.70000000000000+0.00000000000000i	0.00000000000000+0.0111469000000000i
9.80000000000000+0.00000000000000i	0.00000000000000+0.0112557000000000i
9.90000000000000+0.00000000000000i	0.00000000000000+0.0113646000000000i
10.0000000000000+0.00000000000000i	0.00000000000000+0.0114733000000000i
11.0000000000000+0.00000000000000i	0.00000000000000+0.0125576000000000i
12.0000000000000+0.00000000000000i	0.00000000000000+0.0136365000000000i
13.0000000000000+0.00000000000000i	0.00000000000000+0.0147104000000000i
14.0000000000000+0.00000000000000i	0.00000000000000+0.0157796000000000i
15.0000000000000+0.00000000000000i	0.00000000000000+0.0168445000000000i
16.0000000000000+0.00000000000000i	0.00000000000000+0.0179054000000000i
17.0000000000000+0.00000000000000i	0.00000000000000+0.0189626000000000i
18.0000000000000+0.00000000000000i	0.00000000000000+0.0200162000000000i
19.0000000000000+0.00000000000000i	0.00000000000000+0.0210665000000000i
20.0000000000000+0.00000000000000i	0.00000000000000+0.0221136000000000i
21.0000000000000+0.00000000000000i	0.00000000000000+0.0231577000000000i
22.0000000000000+0.00000000000000i	0.00000000000000+0.0241990000000000i
23.0000000000000+0.00000000000000i	0.00000000000000+0.0252375000000000i
24.0000000000000+0.00000000000000i	0.00000000000000+0.0262734000000000i
25.0000000000000+0.00000000000000i	0.00000000000000+0.0273068000000000i
26.0000000000000+0.00000000000000i	0.00000000000000+0.0283378000000000i
27.0000000000000+0.00000000000000i	0.00000000000000+0.0293665000000000i
28.0000000000000+0.00000000000000i	0.00000000000000+0.0303929000000000i
29.0000000000000+0.00000000000000i	0.00000000000000+0.0314173000000000i
30.0000000000000+0.00000000000000i	0.00000000000000+0.0324395000000000i
31.0000000000000+0.00000000000000i	0.00000000000000+0.0334597000000000i
32.0000000000000+0.00000000000000i	0.00000000000000+0.0344780000000000i
33.0000000000000+0.00000000000000i	0.00000000000000+0.0354944000000000i
34.0000000000000+0.00000000000000i	0.00000000000000+0.0365090000000000i
35.0000000000000+0.00000000000000i	0.00000000000000+0.0375219000000000i
36.0000000000000+0.00000000000000i	0.00000000000000+0.0385330000000000i
37.0000000000000+0.00000000000000i	0.00000000000000+0.0395424000000000i
38.0000000000000+0.00000000000000i	0.00000000000000+0.0405503000000000i
39.0000000000000+0.00000000000000i	0.00000000000000+0.0415565000000000i
40.0000000000000+0.00000000000000i	0.00000000000000+0.0425612000000000i
41.0000000000000+0.00000000000000i	0.00000000000000+0.0435644000000000i
42.0000000000000+0.00000000000000i	0.00000000000000+0.0445661000000000i
43.0000000000000+0.00000000000000i	0.00000000000000+0.0455664000000000i
44.0000000000000+0.00000000000000i	0.00000000000000+0.0465653000000000i
45.0000000000000+0.00000000000000i	0.00000000000000+0.0475629000000000i
46.0000000000000+0.00000000000000i	0.00000000000000+0.0485591000000000i
47.0000000000000+0.00000000000000i	0.00000000000000+0.0495539000000000i
48.0000000000000+0.00000000000000i	0.00000000000000+0.0505476000000000i
49.0000000000000+0.00000000000000i	0.00000000000000+0.0515399000000000i
50.0000000000000+0.00000000000000i	0.00000000000000+0.0525311000000000i
51.0000000000000+0.00000000000000i	0.00000000000000+0.0535210000000000i
52.0000000000000+0.00000000000000i	0.00000000000000+0.0545098000000000i
53.0000000000000+0.00000000000000i	0.00000000000000+0.0554974000000000i
54.0000000000000+0.00000000000000i	0.00000000000000+0.0564838000000000i
55.0000000000000+0.00000000000000i	0.00000000000000+0.0574692000000000i
56.0000000000000+0.00000000000000i	0.00000000000000+0.0584534000000000i
57.0000000000000+0.00000000000000i	0.00000000000000+0.0594366000000000i
58.0000000000000+0.00000000000000i	0.00000000000000+0.0604188000000000i
59.0000000000000+0.00000000000000i	0.00000000000000+0.0613999000000000i
60.0000000000000+0.00000000000000i	0.00000000000000+0.0623799000000000i
61.0000000000000+0.00000000000000i	0.00000000000000+0.0633590000000000i
62.0000000000000+0.00000000000000i	0.00000000000000+0.0643371000000000i
63.0000000000000+0.00000000000000i	0.00000000000000+0.0653142000000000i
64.0000000000000+0.00000000000000i	0.00000000000000+0.0662904000000000i
65.0000000000000+0.00000000000000i	0.00000000000000+0.0672656000000000i
66.0000000000000+0.00000000000000i	0.00000000000000+0.0682399000000000i
67.0000000000000+0.00000000000000i	0.00000000000000+0.0692133000000000i
68.0000000000000+0.00000000000000i	0.00000000000000+0.0701858000000000i
69.0000000000000+0.00000000000000i	0.00000000000000+0.0711575000000000i
70.0000000000000+0.00000000000000i	0.00000000000000+0.0721282000000000i
71.0000000000000+0.00000000000000i	0.00000000000000+0.0730981000000000i
72.0000000000000+0.00000000000000i	0.00000000000000+0.0740671000000000i
73.0000000000000+0.00000000000000i	0.00000000000000+0.0750353000000000i
74.0000000000000+0.00000000000000i	0.00000000000000+0.0760027000000000i
75.0000000000000+0.00000000000000i	0.00000000000000+0.0769693000000000i
76.0000000000000+0.00000000000000i	0.00000000000000+0.0779350000000000i
77.0000000000000+0.00000000000000i	0.00000000000000+0.0789000000000000i
78.0000000000000+0.00000000000000i	0.00000000000000+0.0798642000000000i
79.0000000000000+0.00000000000000i	0.00000000000000+0.0808277000000000i
80.0000000000000+0.00000000000000i	0.00000000000000+0.0817903000000000i
81.0000000000000+0.00000000000000i	0.00000000000000+0.0827522000000000i
82.0000000000000+0.00000000000000i	0.00000000000000+0.0837134000000000i
83.0000000000000+0.00000000000000i	0.00000000000000+0.0846738000000000i
84.0000000000000+0.00000000000000i	0.00000000000000+0.0856336000000000i
85.0000000000000+0.00000000000000i	0.00000000000000+0.0865926000000000i
86.0000000000000+0.00000000000000i	0.00000000000000+0.0875509000000000i
87.0000000000000+0.00000000000000i	0.00000000000000+0.0885085000000000i
88.0000000000000+0.00000000000000i	0.00000000000000+0.0894654000000000i
89.0000000000000+0.00000000000000i	0.00000000000000+0.0904216000000000i
90.0000000000000+0.00000000000000i	0.00000000000000+0.0913771000000000i
91.0000000000000+0.00000000000000i	0.00000000000000+0.0923320000000000i
92.0000000000000+0.00000000000000i	0.00000000000000+0.0932862000000000i
93.0000000000000+0.00000000000000i	0.00000000000000+0.0942398000000000i
94.0000000000000+0.00000000000000i	0.00000000000000+0.0951927000000000i
95.0000000000000+0.00000000000000i	0.00000000000000+0.0961450000000000i
96.0000000000000+0.00000000000000i	0.00000000000000+0.0970966000000000i
97.0000000000000+0.00000000000000i	0.00000000000000+0.0980477000000000i
98.0000000000000+0.00000000000000i	0.00000000000000+0.0989981000000000i
99.0000000000000+0.00000000000000i	0.00000000000000+0.0999479000000000i
100.000000000000+0.00000000000000i	0.00000000000000+0.100897000000000i
110.000000000000+0.00000000000000i	0.00000000000000+0.110357000000000i
120.000000000000+0.00000000000000i	0.00000000000000+0.119762000000000i
130.000000000000+0.00000000000000i	0.00000000000000+0.129117000000000i
140.000000000000+0.00000000000000i	0.00000000000000+0.138425000000000i
150.000000000000+0.00000000000000i	0.00000000000000+0.147691000000000i
160.000000000000+0.00000000000000i	0.00000000000000+0.156917000000000i
170.000000000000+0.00000000000000i	0.00000000000000+0.166104000000000i
180.000000000000+0.00000000000000i	0.00000000000000+0.175257000000000i
190.000000000000+0.00000000000000i	0.00000000000000+0.184376000000000i
200.000000000000+0.00000000000000i	0.00000000000000+0.193464000000000i
210.000000000000+0.00000000000000i	0.00000000000000+0.202521000000000i
220.000000000000+0.00000000000000i	0.00000000000000+0.211550000000000i
230.000000000000+0.00000000000000i	0.00000000000000+0.220552000000000i
240.000000000000+0.00000000000000i	0.00000000000000+0.229527000000000i
250.000000000000+0.00000000000000i	0.00000000000000+0.238478000000000i
260.000000000000+0.00000000000000i	0.00000000000000+0.247404000000000i
270.000000000000+0.00000000000000i	0.00000000000000+0.256307000000000i
280.000000000000+0.00000000000000i	0.00000000000000+0.265188000000000i
290.000000000000+0.00000000000000i	0.00000000000000+0.274048000000000i
300.000000000000+0.00000000000000i	0.00000000000000+0.282887000000000i
310.000000000000+0.00000000000000i	0.00000000000000+0.291705000000000i
320.000000000000+0.00000000000000i	0.00000000000000+0.300505000000000i
330.000000000000+0.00000000000000i	0.00000000000000+0.309285000000000i
340.000000000000+0.00000000000000i	0.00000000000000+0.318048000000000i
350.000000000000+0.00000000000000i	0.00000000000000+0.326792000000000i
360.000000000000+0.00000000000000i	0.00000000000000+0.335520000000000i
370.000000000000+0.00000000000000i	0.00000000000000+0.344231000000000i
380.000000000000+0.00000000000000i	0.00000000000000+0.352925000000000i
390.000000000000+0.00000000000000i	0.00000000000000+0.361604000000000i
400.000000000000+0.00000000000000i	0.00000000000000+0.370268000000000i
410.000000000000+0.00000000000000i	0.00000000000000+0.378916000000000i
420.000000000000+0.00000000000000i	0.00000000000000+0.387550000000000i
430.000000000000+0.00000000000000i	0.00000000000000+0.396169000000000i
440.000000000000+0.00000000000000i	0.00000000000000+0.404774000000000i
450.000000000000+0.00000000000000i	0.00000000000000+0.413366000000000i
460.000000000000+0.00000000000000i	0.00000000000000+0.421944000000000i
470.000000000000+0.00000000000000i	0.00000000000000+0.430510000000000i
480.000000000000+0.00000000000000i	0.00000000000000+0.439062000000000i
490.000000000000+0.00000000000000i	0.00000000000000+0.447602000000000i
500.000000000000+0.00000000000000i	0.00000000000000+0.456130000000000i
510.000000000000+0.00000000000000i	0.00000000000000+0.464646000000000i
520.000000000000+0.00000000000000i	0.00000000000000+0.473150000000000i
530.000000000000+0.00000000000000i	0.00000000000000+0.481642000000000i
540.000000000000+0.00000000000000i	0.00000000000000+0.490123000000000i
550.000000000000+0.00000000000000i	0.00000000000000+0.498593000000000i
560.000000000000+0.00000000000000i	0.00000000000000+0.507052000000000i
570.000000000000+0.00000000000000i	0.00000000000000+0.515500000000000i
580.000000000000+0.00000000000000i	0.00000000000000+0.523938000000000i
590.000000000000+0.00000000000000i	0.00000000000000+0.532366000000000i
600.000000000000+0.00000000000000i	0.00000000000000+0.540783000000000i
610.000000000000+0.00000000000000i	0.00000000000000+0.549190000000000i
620.000000000000+0.00000000000000i	0.00000000000000+0.557587000000000i
630.000000000000+0.00000000000000i	0.00000000000000+0.565975000000000i
640.000000000000+0.00000000000000i	0.00000000000000+0.574353000000000i
650.000000000000+0.00000000000000i	0.00000000000000+0.582722000000000i
660.000000000000+0.00000000000000i	0.00000000000000+0.591081000000000i
670.000000000000+0.00000000000000i	0.00000000000000+0.599432000000000i
680.000000000000+0.00000000000000i	0.00000000000000+0.607773000000000i
690.000000000000+0.00000000000000i	0.00000000000000+0.616105000000000i
700.000000000000+0.00000000000000i	0.00000000000000+0.624429000000000i
710.000000000000+0.00000000000000i	0.00000000000000+0.632745000000000i
720.000000000000+0.00000000000000i	0.00000000000000+0.641051000000000i
730.000000000000+0.00000000000000i	0.00000000000000+0.649350000000000i
740.000000000000+0.00000000000000i	0.00000000000000+0.657640000000000i
750.000000000000+0.00000000000000i	0.00000000000000+0.665922000000000i
760.000000000000+0.00000000000000i	0.00000000000000+0.674196000000000i
770.000000000000+0.00000000000000i	0.00000000000000+0.682462000000000i
780.000000000000+0.00000000000000i	0.00000000000000+0.690721000000000i
790.000000000000+0.00000000000000i	0.00000000000000+0.698971000000000i
800.000000000000+0.00000000000000i	0.00000000000000+0.707214000000000i
810.000000000000+0.00000000000000i	0.00000000000000+0.715450000000000i
820.000000000000+0.00000000000000i	0.00000000000000+0.723678000000000i
830.000000000000+0.00000000000000i	0.00000000000000+0.731899000000000i
840.000000000000+0.00000000000000i	0.00000000000000+0.740112000000000i
850.000000000000+0.00000000000000i	0.00000000000000+0.748319000000000i
860.000000000000+0.00000000000000i	0.00000000000000+0.756518000000000i
870.000000000000+0.00000000000000i	0.00000000000000+0.764711000000000i
880.000000000000+0.00000000000000i	0.00000000000000+0.772896000000000i
890.000000000000+0.00000000000000i	0.00000000000000+0.781075000000000i
900.000000000000+0.00000000000000i	0.00000000000000+0.789246000000000i
910.000000000000+0.00000000000000i	0.00000000000000+0.797412000000000i
920.000000000000+0.00000000000000i	0.00000000000000+0.805570000000000i
930.000000000000+0.00000000000000i	0.00000000000000+0.813722000000000i
940.000000000000+0.00000000000000i	0.00000000000000+0.821868000000000i
950.000000000000+0.00000000000000i	0.00000000000000+0.830007000000000i
960.000000000000+0.00000000000000i	0.00000000000000+0.838140000000000i
970.000000000000+0.00000000000000i	0.00000000000000+0.846267000000000i
980.000000000000+0.00000000000000i	0.00000000000000+0.854387000000000i
990.000000000000+0.00000000000000i	0.00000000000000+0.862501000000000i
1000.00000000000+0.00000000000000i	0.00000000000000+0.870609000000000i
1100.00000000000+0.00000000000000i	0.00000000000000+0.951371000000000i
1200.00000000000+0.00000000000000i	0.00000000000000+1.03158000000000i
1300.00000000000+0.00000000000000i	0.00000000000000+1.11130000000000i
1400.00000000000+0.00000000000000i	0.00000000000000+1.19055000000000i
1500.00000000000+0.00000000000000i	0.00000000000000+1.26937000000000i
1600.00000000000+0.00000000000000i	0.00000000000000+1.34779000000000i
1700.00000000000+0.00000000000000i	0.00000000000000+1.42583000000000i
1800.00000000000+0.00000000000000i	0.00000000000000+1.50352000000000i
1900.00000000000+0.00000000000000i	0.00000000000000+1.58088000000000i
2000.00000000000+0.00000000000000i	0.00000000000000+1.65792000000000i
2100.00000000000+0.00000000000000i	0.00000000000000+1.73466000000000i
2200.00000000000+0.00000000000000i	0.00000000000000+1.81111000000000i
2300.00000000000+0.00000000000000i	0.00000000000000+1.88729000000000i
2400.00000000000+0.00000000000000i	0.00000000000000+1.96321000000000i
2500.00000000000+0.00000000000000i	0.00000000000000+2.03888000000000i
2600.00000000000+0.00000000000000i	0.00000000000000+2.11430000000000i
2700.00000000000+0.00000000000000i	0.00000000000000+2.18950000000000i
2800.00000000000+0.00000000000000i	0.00000000000000+2.26447000000000i
2900.00000000000+0.00000000000000i	0.00000000000000+2.33923000000000i
3000.00000000000+0.00000000000000i	0.00000000000000+2.41378000000000i
3100.00000000000+0.00000000000000i	0.00000000000000+2.48813000000000i
3200.00000000000+0.00000000000000i	0.00000000000000+2.56229000000000i
3300.00000000000+0.00000000000000i	0.00000000000000+2.63626000000000i
3400.00000000000+0.00000000000000i	0.00000000000000+2.71005000000000i
3500.00000000000+0.00000000000000i	0.00000000000000+2.78366000000000i
3600.00000000000+0.00000000000000i	0.00000000000000+2.85710000000000i
3700.00000000000+0.00000000000000i	0.00000000000000+2.93037000000000i
3800.00000000000+0.00000000000000i	0.00000000000000+3.00348000000000i
3900.00000000000+0.00000000000000i	0.00000000000000+3.07643000000000i
4000.00000000000+0.00000000000000i	0.00000000000000+3.14923000000000i
4100.00000000000+0.00000000000000i	0.00000000000000+3.22188000000000i
4200.00000000000+0.00000000000000i	0.00000000000000+3.29438000000000i
4300.00000000000+0.00000000000000i	0.00000000000000+3.36674000000000i
4400.00000000000+0.00000000000000i	0.00000000000000+3.43896000000000i
4500.00000000000+0.00000000000000i	0.00000000000000+3.51104000000000i
4600.00000000000+0.00000000000000i	0.00000000000000+3.58298000000000i
4700.00000000000+0.00000000000000i	0.00000000000000+3.65480000000000i
4800.00000000000+0.00000000000000i	0.00000000000000+3.72649000000000i
4900.00000000000+0.00000000000000i	0.00000000000000+3.79805000000000i
5000.00000000000+0.00000000000000i	0.00000000000000+3.86950000000000i
5100.00000000000+0.00000000000000i	0.00000000000000+3.94082000000000i
5200.00000000000+0.00000000000000i	0.00000000000000+4.01202000000000i
5300.00000000000+0.00000000000000i	0.00000000000000+4.08311000000000i
5400.00000000000+0.00000000000000i	0.00000000000000+4.15408000000000i
5500.00000000000+0.00000000000000i	0.00000000000000+4.22495000000000i
5600.00000000000+0.00000000000000i	0.00000000000000+4.29570000000000i
5700.00000000000+0.00000000000000i	0.00000000000000+4.36635000000000i
5800.00000000000+0.00000000000000i	0.00000000000000+4.43689000000000i
5900.00000000000+0.00000000000000i	0.00000000000000+4.50733000000000i
6000.00000000000+0.00000000000000i	0.00000000000000+4.57766000000000i
6100.00000000000+0.00000000000000i	0.00000000000000+4.64790000000000i
6200.00000000000+0.00000000000000i	0.00000000000000+4.71803000000000i
6300.00000000000+0.00000000000000i	0.00000000000000+4.78808000000000i
6400.00000000000+0.00000000000000i	0.00000000000000+4.85802000000000i
6500.00000000000+0.00000000000000i	0.00000000000000+4.92787000000000i
6600.00000000000+0.00000000000000i	0.00000000000000+4.99763000000000i
6700.00000000000+0.00000000000000i	0.00000000000000+5.06730000000000i
6800.00000000000+0.00000000000000i	0.00000000000000+5.13687000000000i
6900.00000000000+0.00000000000000i	0.00000000000000+5.20636000000000i
7000.00000000000+0.00000000000000i	0.00000000000000+5.27577000000000i
7100.00000000000+0.00000000000000i	0.00000000000000+5.34508000000000i
7200.00000000000+0.00000000000000i	0.00000000000000+5.41431000000000i
7300.00000000000+0.00000000000000i	0.00000000000000+5.48346000000000i
7400.00000000000+0.00000000000000i	0.00000000000000+5.55253000000000i
7500.00000000000+0.00000000000000i	0.00000000000000+5.62151000000000i
7600.00000000000+0.00000000000000i	0.00000000000000+5.69042000000000i
7700.00000000000+0.00000000000000i	0.00000000000000+5.75924000000000i
7800.00000000000+0.00000000000000i	0.00000000000000+5.82799000000000i
7900.00000000000+0.00000000000000i	0.00000000000000+5.89666000000000i
8000.00000000000+0.00000000000000i	0.00000000000000+5.96526000000000i
8100.00000000000+0.00000000000000i	0.00000000000000+6.03378000000000i
8200.00000000000+0.00000000000000i	0.00000000000000+6.10222000000000i
8300.00000000000+0.00000000000000i	0.00000000000000+6.17059000000000i
8400.00000000000+0.00000000000000i	0.00000000000000+6.23889000000000i
8500.00000000000+0.00000000000000i	0.00000000000000+6.30712000000000i
8600.00000000000+0.00000000000000i	0.00000000000000+6.37528000000000i
8700.00000000000+0.00000000000000i	0.00000000000000+6.44336000000000i
8800.00000000000+0.00000000000000i	0.00000000000000+6.51138000000000i
8900.00000000000+0.00000000000000i	0.00000000000000+6.57933000000000i
9000.00000000000+0.00000000000000i	0.00000000000000+6.64722000000000i
9100.00000000000+0.00000000000000i	0.00000000000000+6.71503000000000i
9200.00000000000+0.00000000000000i	0.00000000000000+6.78278000000000i
9300.00000000000+0.00000000000000i	0.00000000000000+6.85047000000000i
9400.00000000000+0.00000000000000i	0.00000000000000+6.91809000000000i
9500.00000000000+0.00000000000000i	0.00000000000000+6.98564000000000i
9600.00000000000+0.00000000000000i	0.00000000000000+7.05313000000000i
9700.00000000000+0.00000000000000i	0.00000000000000+7.12056000000000i
9800.00000000000+0.00000000000000i	0.00000000000000+7.18793000000000i
9900.00000000000+0.00000000000000i	0.00000000000000+7.25524000000000i
10000.0000000000+0.00000000000000i	0.00000000000000+7.32248000000000i
11000.0000000000+0.00000000000000i	0.00000000000000+7.99173000000000i
12000.0000000000+0.00000000000000i	0.00000000000000+8.65551000000000i
13000.0000000000+0.00000000000000i	0.00000000000000+9.31428000000000i
14000.0000000000+0.00000000000000i	0.00000000000000+9.96842000000000i
15000.0000000000+0.00000000000000i	0.00000000000000+10.6183000000000i
16000.0000000000+0.00000000000000i	0.00000000000000+11.2641000000000i
17000.0000000000+0.00000000000000i	0.00000000000000+11.9062000000000i
18000.0000000000+0.00000000000000i	0.00000000000000+12.5447000000000i
19000.0000000000+0.00000000000000i	0.00000000000000+13.1799000000000i
20000.0000000000+0.00000000000000i	0.00000000000000+13.8120000000000i
21000.0000000000+0.00000000000000i	0.00000000000000+14.4410000000000i
22000.0000000000+0.00000000000000i	0.00000000000000+15.0672000000000i
23000.0000000000+0.00000000000000i	0.00000000000000+15.6906000000000i
24000.0000000000+0.00000000000000i	0.00000000000000+16.3114000000000i
25000.0000000000+0.00000000000000i	0.00000000000000+16.9297000000000i
26000.0000000000+0.00000000000000i	0.00000000000000+17.5456000000000i
27000.0000000000+0.00000000000000i	0.00000000000000+18.1592000000000i
