10000.0000000000+0.00000000000000i	0.000120662257584705+0.0620062425911530i
20000.0000000000+0.00000000000000i	0.000482916625502134+0.124027894912944i
30000.0000000000+0.00000000000000i	0.00108756679938374+0.186080379649669i
40000.0000000000+0.00000000000000i	0.00193595531000035+0.248179145377000i
50000.0000000000+0.00000000000000i	0.00302996809522493+0.310339679467319i
60000.0000000000+0.00000000000000i	0.00437204093062993+0.372577520945254i
70000.0000000000+0.00000000000000i	0.00596516774875308+0.434908273274501i
80000.0000000000+0.00000000000000i	0.00781291088591010+0.497347617054963i
90000.0000000000+0.00000000000000i	0.00991941330447658+0.559911322606662i
100000.000000000+0.00000000000000i	0.0122894128478472+0.622615262413667i
110000.000000000+0.00000000000000i	0.0149282585948548+0.685475423397436i
120000.000000000+0.00000000000000i	0.0178419293903398+0.748507918984391i
130000.000000000+0.00000000000000i	0.0210370546388446+0.811729000927236i
140000.000000000+0.00000000000000i	0.0245209374591185+0.875155070833316i
150000.000000000+0.00000000000000i	0.0283015803082952+0.938802691346188i
160000.000000000+0.00000000000000i	0.0323877131962917+1.00268859691838i
170000.000000000+0.00000000000000i	0.0367888246232262+1.06682970410397i
180000.000000000+0.00000000000000i	0.0415151953854914+1.13124312128887i
190000.000000000+0.00000000000000i	0.0465779354095893+1.19594615776468i
200000.000000000+0.00000000000000i	0.0519890237869894+1.26095633203809i
210000.000000000+0.00000000000000i	0.0577613521981035+1.32629137925213i
220000.000000000+0.00000000000000i	0.0639087719290414+1.39196925757794i
230000.000000000+0.00000000000000i	0.0704461447011149+1.45800815341556i
240000.000000000+0.00000000000000i	0.0773893975500880+1.52442648521969i
250000.000000000+0.00000000000000i	0.0847555820099518+1.59124290574034i
260000.000000000+0.00000000000000i	0.0925629378744530+1.65847630243975i
270000.000000000+0.00000000000000i	0.100830961828724+1.72614579581368i
280000.000000000+0.00000000000000i	0.109580481263022+1.79427073530853i
290000.000000000+0.00000000000000i	0.118833733600710+1.86287069248375i
300000.000000000+0.00000000000000i	0.128614451492998+1.93196545102170i
310000.000000000+0.00000000000000i	0.138947954253440+2.00157499313441i
320000.000000000+0.00000000000000i	0.149861245925401+2.07171948185596i
330000.000000000+0.00000000000000i	0.161383120395418+2.14241923864238i
340000.000000000+0.00000000000000i	0.173544273983956+2.21369471562414i
350000.000000000+0.00000000000000i	0.186377425962083+2.28556646177106i
360000.000000000+0.00000000000000i	0.199917447457230+2.35805508213274i
370000.000000000+0.00000000000000i	0.214201499222576+2.43118118920931i
380000.000000000+0.00000000000000i	0.229269178751622+2.50496534538546i
390000.000000000+0.00000000000000i	0.245162677220796+2.57942799522416i
400000.000000000+0.00000000000000i	0.261926946736790+2.65458938626311i
410000.000000000+0.00000000000000i	0.279609878349779+2.73046947678575i
420000.000000000+0.00000000000000i	0.298262491266164+2.80708782884680i
430000.000000000+0.00000000000000i	0.317939133652151+2.88446348461856i
440000.000000000+0.00000000000000i	0.338697695358635+2.96261482388616i
450000.000000000+0.00000000000000i	0.360599832814237+3.04155940025517i
460000.000000000+0.00000000000000i	0.383711206221850+3.12131375334225i
470000.000000000+0.00000000000000i	0.408101729048411+3.20189319389539i
480000.000000000+0.00000000000000i	0.433845829610679+3.28331155843454i
490000.000000000+0.00000000000000i	0.461022724322821+3.36558092961289i
500000.000000000+0.00000000000000i	0.489716701874381+3.44871131807399i
510000.000000000+0.00000000000000i	0.520017417237867+3.53271030111936i
520000.000000000+0.00000000000000i	0.552020193949537+3.61758261300623i
530000.000000000+0.00000000000000i	0.585826332548895+3.70332968116776i
540000.000000000+0.00000000000000i	0.621543422382901+3.78994910209350i
550000.000000000+0.00000000000000i	0.659285653158419+3.87743405003199i
560000.000000000+0.00000000000000i	0.699174121636249+3.96577261109204i
570000.000000000+0.00000000000000i	0.741337127674430+4.05494703473864i
580000.000000000+0.00000000000000i	0.785910452416245+4.14493289412554i
590000.000000000+0.00000000000000i	0.833037609745498+4.23569814620722i
600000.000000000+0.00000000000000i	0.882870060161257+4.32720208216653i
610000.000000000+0.00000000000000i	0.935567373917624+4.41939415843000i
620000.000000000+0.00000000000000i	0.991297327591806+4.51221269848435i
630000.000000000+0.00000000000000i	1.05023591514738+4.60558345593546i
640000.000000000+0.00000000000000i	1.11256725101525+4.69941802986688i
650000.000000000+0.00000000000000i	1.17848333869602+4.79361212468290i
660000.000000000+0.00000000000000i	1.24818367388239+4.88804364841480i
670000.000000000+0.00000000000000i	1.32187464611709+4.98257064611214i
680000.000000000+0.00000000000000i	1.39976869758132+5.07702906865040i
690000.000000000+0.00000000000000i	1.48208319183384+5.17123038231669i
700000.000000000+0.00000000000000i	1.56903893933541+5.26495903117331i
710000.000000000+0.00000000000000i	1.66085832061948+5.35796977276352i
720000.000000000+0.00000000000000i	1.75776294233206+5.44998491855526i
