1.20000000000000+0.00000000000000i	0.0637567000000000+0.0526134000000000i
1.30000000000000+0.00000000000000i	0.0662077000000000+0.0543266000000000i
1.40000000000000+0.00000000000000i	0.0685540000000000+0.0559512000000000i
1.50000000000000+0.00000000000000i	0.0708067000000000+0.0574972000000000i
1.60000000000000+0.00000000000000i	0.0729750000000000+0.0589727000000000i
1.70000000000000+0.00000000000000i	0.0750668000000000+0.0603848000000000i
1.80000000000000+0.00000000000000i	0.0770889000000000+0.0617394000000000i
1.90000000000000+0.00000000000000i	0.0790471000000000+0.0630415000000000i
2.00000000000000+0.00000000000000i	0.0809463000000000+0.0642957000000000i
2.10000000000000+0.00000000000000i	0.0827911000000000+0.0655056000000000i
2.20000000000000+0.00000000000000i	0.0845853000000000+0.0666747000000000i
2.30000000000000+0.00000000000000i	0.0863324000000000+0.0678060000000000i
2.40000000000000+0.00000000000000i	0.0880355000000000+0.0689021000000000i
2.50000000000000+0.00000000000000i	0.0896974000000000+0.0699653000000000i
2.60000000000000+0.00000000000000i	0.0913205000000000+0.0709979000000000i
2.70000000000000+0.00000000000000i	0.0929072000000000+0.0720016000000000i
2.80000000000000+0.00000000000000i	0.0944594000000000+0.0729783000000000i
2.90000000000000+0.00000000000000i	0.0959791000000000+0.0739294000000000i
3.00000000000000+0.00000000000000i	0.0974679000000000+0.0748564000000000i
3.10000000000000+0.00000000000000i	0.0989274000000000+0.0757607000000000i
3.20000000000000+0.00000000000000i	0.100359000000000+0.0766434000000000i
3.30000000000000+0.00000000000000i	0.101764000000000+0.0775056000000000i
3.40000000000000+0.00000000000000i	0.103144000000000+0.0783483000000000i
3.50000000000000+0.00000000000000i	0.104500000000000+0.0791725000000000i
3.60000000000000+0.00000000000000i	0.105833000000000+0.0799790000000000i
3.70000000000000+0.00000000000000i	0.107143000000000+0.0807686000000000i
3.80000000000000+0.00000000000000i	0.108432000000000+0.0815421000000000i
3.90000000000000+0.00000000000000i	0.109701000000000+0.0823001000000000i
4.00000000000000+0.00000000000000i	0.110951000000000+0.0830434000000000i
4.10000000000000+0.00000000000000i	0.112181000000000+0.0837725000000000i
4.20000000000000+0.00000000000000i	0.113394000000000+0.0844880000000000i
4.30000000000000+0.00000000000000i	0.114589000000000+0.0851904000000000i
4.40000000000000+0.00000000000000i	0.115768000000000+0.0858802000000000i
4.50000000000000+0.00000000000000i	0.116930000000000+0.0865580000000000i
4.60000000000000+0.00000000000000i	0.118076000000000+0.0872240000000000i
4.70000000000000+0.00000000000000i	0.119208000000000+0.0878789000000000i
4.80000000000000+0.00000000000000i	0.120324000000000+0.0885228000000000i
4.90000000000000+0.00000000000000i	0.121427000000000+0.0891563000000000i
5.00000000000000+0.00000000000000i	0.122516000000000+0.0897797000000000i
5.10000000000000+0.00000000000000i	0.123591000000000+0.0903932000000000i
5.20000000000000+0.00000000000000i	0.124654000000000+0.0909973000000000i
5.30000000000000+0.00000000000000i	0.125704000000000+0.0915922000000000i
5.40000000000000+0.00000000000000i	0.126742000000000+0.0921783000000000i
5.50000000000000+0.00000000000000i	0.127768000000000+0.0927557000000000i
5.60000000000000+0.00000000000000i	0.128783000000000+0.0933247000000000i
5.70000000000000+0.00000000000000i	0.129787000000000+0.0938857000000000i
5.80000000000000+0.00000000000000i	0.130779000000000+0.0944388000000000i
5.90000000000000+0.00000000000000i	0.131762000000000+0.0949842000000000i
