f [Hz]  Z [Ohm] 
1.20000000000000+0.00000000000000i	0.00000000000000+0.000969056000000000i
1.30000000000000+0.00000000000000i	0.00000000000000+0.00104589000000000i
1.40000000000000+0.00000000000000i	0.00000000000000+0.00112244000000000i
1.50000000000000+0.00000000000000i	0.00000000000000+0.00119872000000000i
1.60000000000000+0.00000000000000i	0.00000000000000+0.00127474000000000i
1.70000000000000+0.00000000000000i	0.00000000000000+0.00135054000000000i
1.80000000000000+0.00000000000000i	0.00000000000000+0.00142610000000000i
1.90000000000000+0.00000000000000i	0.00000000000000+0.00150147000000000i
2.00000000000000+0.00000000000000i	0.00000000000000+0.00157663000000000i
2.10000000000000+0.00000000000000i	0.00000000000000+0.00165160000000000i
2.20000000000000+0.00000000000000i	0.00000000000000+0.00172639000000000i
2.30000000000000+0.00000000000000i	0.00000000000000+0.00180102000000000i
2.40000000000000+0.00000000000000i	0.00000000000000+0.00187548000000000i
2.50000000000000+0.00000000000000i	0.00000000000000+0.00194978000000000i
2.60000000000000+0.00000000000000i	0.00000000000000+0.00202393000000000i
2.70000000000000+0.00000000000000i	0.00000000000000+0.00209794000000000i
2.80000000000000+0.00000000000000i	0.00000000000000+0.00217181000000000i
2.90000000000000+0.00000000000000i	0.00000000000000+0.00224554000000000i
3.00000000000000+0.00000000000000i	0.00000000000000+0.00231914000000000i
3.10000000000000+0.00000000000000i	0.00000000000000+0.00239262000000000i
3.20000000000000+0.00000000000000i	0.00000000000000+0.00246597000000000i
3.30000000000000+0.00000000000000i	0.00000000000000+0.00253921000000000i
3.40000000000000+0.00000000000000i	0.00000000000000+0.00261234000000000i
3.50000000000000+0.00000000000000i	0.00000000000000+0.00268535000000000i
3.60000000000000+0.00000000000000i	0.00000000000000+0.00275826000000000i
3.70000000000000+0.00000000000000i	0.00000000000000+0.00283106000000000i
3.80000000000000+0.00000000000000i	0.00000000000000+0.00290376000000000i
3.90000000000000+0.00000000000000i	0.00000000000000+0.00297636000000000i
4.00000000000000+0.00000000000000i	0.00000000000000+0.00304886000000000i
4.10000000000000+0.00000000000000i	0.00000000000000+0.00312127000000000i
4.20000000000000+0.00000000000000i	0.00000000000000+0.00319359000000000i
4.30000000000000+0.00000000000000i	0.00000000000000+0.00326582000000000i
4.40000000000000+0.00000000000000i	0.00000000000000+0.00333796000000000i
4.50000000000000+0.00000000000000i	0.00000000000000+0.00341001000000000i
4.60000000000000+0.00000000000000i	0.00000000000000+0.00348198000000000i
4.70000000000000+0.00000000000000i	0.00000000000000+0.00355387000000000i
4.80000000000000+0.00000000000000i	0.00000000000000+0.00362568000000000i
4.90000000000000+0.00000000000000i	0.00000000000000+0.00369741000000000i
5.00000000000000+0.00000000000000i	0.00000000000000+0.00376907000000000i
5.10000000000000+0.00000000000000i	0.00000000000000+0.00384065000000000i
5.20000000000000+0.00000000000000i	0.00000000000000+0.00391215000000000i
5.30000000000000+0.00000000000000i	0.00000000000000+0.00398358000000000i
5.40000000000000+0.00000000000000i	0.00000000000000+0.00405494000000000i
5.50000000000000+0.00000000000000i	0.00000000000000+0.00412624000000000i
5.60000000000000+0.00000000000000i	0.00000000000000+0.00419746000000000i
5.70000000000000+0.00000000000000i	0.00000000000000+0.00426862000000000i
5.80000000000000+0.00000000000000i	0.00000000000000+0.00433971000000000i
5.90000000000000+0.00000000000000i	0.00000000000000+0.00441073000000000i
6.00000000000000+0.00000000000000i	0.00000000000000+0.00448169000000000i
6.10000000000000+0.00000000000000i	0.00000000000000+0.00455259000000000i
6.20000000000000+0.00000000000000i	0.00000000000000+0.00462343000000000i
6.30000000000000+0.00000000000000i	0.00000000000000+0.00469420000000000i
6.40000000000000+0.00000000000000i	0.00000000000000+0.00476492000000000i
6.50000000000000+0.00000000000000i	0.00000000000000+0.00483558000000000i
6.60000000000000+0.00000000000000i	0.00000000000000+0.00490618000000000i
6.70000000000000+0.00000000000000i	0.00000000000000+0.00497672000000000i
6.80000000000000+0.00000000000000i	0.00000000000000+0.00504721000000000i
6.90000000000000+0.00000000000000i	0.00000000000000+0.00511764000000000i
7.00000000000000+0.00000000000000i	0.00000000000000+0.00518801000000000i
7.10000000000000+0.00000000000000i	0.00000000000000+0.00525834000000000i
7.20000000000000+0.00000000000000i	0.00000000000000+0.00532860000000000i
7.30000000000000+0.00000000000000i	0.00000000000000+0.00539882000000000i
7.40000000000000+0.00000000000000i	0.00000000000000+0.00546899000000000i
7.50000000000000+0.00000000000000i	0.00000000000000+0.00553910000000000i
7.60000000000000+0.00000000000000i	0.00000000000000+0.00560917000000000i
7.70000000000000+0.00000000000000i	0.00000000000000+0.00567918000000000i
7.80000000000000+0.00000000000000i	0.00000000000000+0.00574915000000000i
7.90000000000000+0.00000000000000i	0.00000000000000+0.00581907000000000i
8.00000000000000+0.00000000000000i	0.00000000000000+0.00588894000000000i
8.10000000000000+0.00000000000000i	0.00000000000000+0.00595876000000000i
8.20000000000000+0.00000000000000i	0.00000000000000+0.00602854000000000i
8.30000000000000+0.00000000000000i	0.00000000000000+0.00609827000000000i
8.40000000000000+0.00000000000000i	0.00000000000000+0.00616795000000000i
8.50000000000000+0.00000000000000i	0.00000000000000+0.00623759000000000i
8.60000000000000+0.00000000000000i	0.00000000000000+0.00630719000000000i
8.70000000000000+0.00000000000000i	0.00000000000000+0.00637674000000000i
8.80000000000000+0.00000000000000i	0.00000000000000+0.00644625000000000i
8.90000000000000+0.00000000000000i	0.00000000000000+0.00651572000000000i
9.00000000000000+0.00000000000000i	0.00000000000000+0.00658514000000000i
9.10000000000000+0.00000000000000i	0.00000000000000+0.00665452000000000i
9.20000000000000+0.00000000000000i	0.00000000000000+0.00672386000000000i
9.30000000000000+0.00000000000000i	0.00000000000000+0.00679316000000000i
9.40000000000000+0.00000000000000i	0.00000000000000+0.00686242000000000i
9.50000000000000+0.00000000000000i	0.00000000000000+0.00693164000000000i
9.60000000000000+0.00000000000000i	0.00000000000000+0.00700082000000000i
9.70000000000000+0.00000000000000i	0.00000000000000+0.00706996000000000i
9.80000000000000+0.00000000000000i	0.00000000000000+0.00713906000000000i
9.90000000000000+0.00000000000000i	0.00000000000000+0.00720813000000000i
10.0000000000000+0.00000000000000i	0.00000000000000+0.00727715000000000i
11.0000000000000+0.00000000000000i	0.00000000000000+0.00796539000000000i
12.0000000000000+0.00000000000000i	0.00000000000000+0.00865021000000000i
13.0000000000000+0.00000000000000i	0.00000000000000+0.00933188000000000i
14.0000000000000+0.00000000000000i	0.00000000000000+0.0100106000000000i
15.0000000000000+0.00000000000000i	0.00000000000000+0.0106867000000000i
16.0000000000000+0.00000000000000i	0.00000000000000+0.0113603000000000i
17.0000000000000+0.00000000000000i	0.00000000000000+0.0120315000000000i
18.0000000000000+0.00000000000000i	0.00000000000000+0.0127005000000000i
19.0000000000000+0.00000000000000i	0.00000000000000+0.0133674000000000i
20.0000000000000+0.00000000000000i	0.00000000000000+0.0140323000000000i
21.0000000000000+0.00000000000000i	0.00000000000000+0.0146954000000000i
22.0000000000000+0.00000000000000i	0.00000000000000+0.0153566000000000i
23.0000000000000+0.00000000000000i	0.00000000000000+0.0160162000000000i
24.0000000000000+0.00000000000000i	0.00000000000000+0.0166741000000000i
25.0000000000000+0.00000000000000i	0.00000000000000+0.0173304000000000i
26.0000000000000+0.00000000000000i	0.00000000000000+0.0179852000000000i
27.0000000000000+0.00000000000000i	0.00000000000000+0.0186386000000000i
28.0000000000000+0.00000000000000i	0.00000000000000+0.0192905000000000i
29.0000000000000+0.00000000000000i	0.00000000000000+0.0199412000000000i
30.0000000000000+0.00000000000000i	0.00000000000000+0.0205905000000000i
31.0000000000000+0.00000000000000i	0.00000000000000+0.0212386000000000i
32.0000000000000+0.00000000000000i	0.00000000000000+0.0218855000000000i
