f [Hz]  Z [Ohm] 
1.20000000000000+0.00000000000000i	0.0580274000000000+0.0485419000000000i
1.30000000000000+0.00000000000000i	0.0602743000000000+0.0501499000000000i
1.40000000000000+0.00000000000000i	0.0624263000000000+0.0516761000000000i
1.50000000000000+0.00000000000000i	0.0644933000000000+0.0531296000000000i
1.60000000000000+0.00000000000000i	0.0664839000000000+0.0545181000000000i
1.70000000000000+0.00000000000000i	0.0684050000000000+0.0558480000000000i
1.80000000000000+0.00000000000000i	0.0702629000000000+0.0571246000000000i
1.90000000000000+0.00000000000000i	0.0720626000000000+0.0583526000000000i
2.00000000000000+0.00000000000000i	0.0738089000000000+0.0595362000000000i
2.10000000000000+0.00000000000000i	0.0755057000000000+0.0606788000000000i
2.20000000000000+0.00000000000000i	0.0771564000000000+0.0617835000000000i
2.30000000000000+0.00000000000000i	0.0787644000000000+0.0628531000000000i
2.40000000000000+0.00000000000000i	0.0803323000000000+0.0638901000000000i
2.50000000000000+0.00000000000000i	0.0818627000000000+0.0648966000000000i
2.60000000000000+0.00000000000000i	0.0833579000000000+0.0658745000000000i
2.70000000000000+0.00000000000000i	0.0848198000000000+0.0668257000000000i
2.80000000000000+0.00000000000000i	0.0862504000000000+0.0677516000000000i
2.90000000000000+0.00000000000000i	0.0876513000000000+0.0686539000000000i
3.00000000000000+0.00000000000000i	0.0890241000000000+0.0695338000000000i
3.10000000000000+0.00000000000000i	0.0903703000000000+0.0703924000000000i
3.20000000000000+0.00000000000000i	0.0916910000000000+0.0712310000000000i
3.30000000000000+0.00000000000000i	0.0929876000000000+0.0720505000000000i
3.40000000000000+0.00000000000000i	0.0942611000000000+0.0728518000000000i
3.50000000000000+0.00000000000000i	0.0955126000000000+0.0736359000000000i
3.60000000000000+0.00000000000000i	0.0967430000000000+0.0744035000000000i
3.70000000000000+0.00000000000000i	0.0979532000000000+0.0751553000000000i
3.80000000000000+0.00000000000000i	0.0991441000000000+0.0758922000000000i
3.90000000000000+0.00000000000000i	0.100316000000000+0.0766146000000000i
4.00000000000000+0.00000000000000i	0.101471000000000+0.0773233000000000i
4.10000000000000+0.00000000000000i	0.102608000000000+0.0780187000000000i
4.20000000000000+0.00000000000000i	0.103729000000000+0.0787015000000000i
4.30000000000000+0.00000000000000i	0.104834000000000+0.0793720000000000i
4.40000000000000+0.00000000000000i	0.105923000000000+0.0800308000000000i
4.50000000000000+0.00000000000000i	0.106998000000000+0.0806783000000000i
4.60000000000000+0.00000000000000i	0.108058000000000+0.0813149000000000i
4.70000000000000+0.00000000000000i	0.109105000000000+0.0819410000000000i
4.80000000000000+0.00000000000000i	0.110138000000000+0.0825569000000000i
4.90000000000000+0.00000000000000i	0.111158000000000+0.0831631000000000i
5.00000000000000+0.00000000000000i	0.112166000000000+0.0837598000000000i
5.10000000000000+0.00000000000000i	0.113162000000000+0.0843474000000000i
5.20000000000000+0.00000000000000i	0.114145000000000+0.0849261000000000i
5.30000000000000+0.00000000000000i	0.115118000000000+0.0854962000000000i
