SPSBEAM/MOMENTUM,SPSBEAM/MOMENTUM
X,Y
-200.0,13.5
-194.0,13.506
-188.0,13.524
-182.0,13.554
-176.0,13.596
-170.0,13.65
-164.0,13.7074285714
-158.0,13.7597142857
-152.0,13.8068571429
-146.0,13.8488571429
-140.0,13.8857142857
-134.0,13.9174285714
-128.0,13.944
-122.0,13.9654285714
-116.0,13.9817142857
-110.0,13.9928571429
-104.0,13.9988571429
-98.0,14.0
0.0,14.0
1.0,14.0000066081
11.0,14.0000726893
21.0,14.0001387705
31.0,14.0002048517
41.0,14.0002709329
51.0,14.0003370142
61.0,14.0004030954
71.0,14.0004691766
81.0,14.0005352578
91.0,14.000601339
101.0,14.0006674202
111.0,14.0007335014
121.0,14.0007995826
131.0,14.0008656638
141.0,14.000931745
151.0,14.0009978262
161.0,14.0010639074
171.0,14.0011299886
181.0,14.0011960698
191.0,14.001262151
201.0,14.0013282322
211.0,14.0013943135
221.0,14.0014603947
231.0,14.0015264759
241.0,14.0015925571
251.0,14.0016586383
261.0,14.0017247195
271.0,14.0017908007
281.0,14.0018568819
291.0,14.0019229631
301.0,14.0019890443
311.0,14.0020551255
321.0,14.0021212067
331.0,14.0021872879
341.0,14.0022533691
351.0,14.0023194503
361.0,14.0023855315
371.0,14.0024516128
381.0,14.002517694
391.0,14.0025837752
401.0,14.0026498564
411.0,14.0027159376
421.0,14.0027820188
431.0,14.0028481
441.0,14.0029141812
451.0,14.0029802624
461.0,14.0030463436
471.0,14.0031124248
481.0,14.003178506
491.0,14.0032445872
501.0,14.0033106684
511.0,14.0033767496
521.0,14.0034428308
531.0,14.0035089121
541.0,14.0035749933
551.0,14.0036410745
561.0,14.0037071557
571.0,14.0037732369
581.0,14.0038393181
591.0,14.0039053993
601.0,14.0039714805
611.0,14.0040036154
621.0,14.0040357504
631.0,14.0040678853
641.0,14.0041000203
651.0,14.0041321552
661.0,14.0041642902
671.0,14.0041964251
681.0,14.00422856
691.0,14.004260695
701.0,14.0042928299
711.0,14.0043249649
721.0,14.0043570998
731.0,14.0043892347
741.0,14.0044213697
751.0,14.0044535046
761.0,14.0044856396
771.0,14.0045177745
781.0,14.0045499095
