Freq. [Hz]	Freq. [MHz]	|Z| CL [dB]	|Z| OL [deg]	|Z| OL [dB]	|Z| CL [deg]	|Z| Shorted [dB]	|Z| Shorted [deg]
5.00E+04	5.00E-02	1.46E+01	6.54E+01	2.42E+01	7.02E+01	2.85E+00	1.70E+00
5.19E+04	5.19E-02	1.51E+01	6.57E+01	2.49E+01	7.00E+01	2.85E+00	7.81E-01
5.39E+04	5.39E-02	1.56E+01	6.60E+01	2.58E+01	6.90E+01	2.83E+00	-3.76E-01
5.60E+04	5.60E-02	1.63E+01	6.63E+01	2.64E+01	6.95E+01	2.82E+00	-1.07E+00
5.82E+04	5.82E-02	1.71E+01	6.64E+01	2.73E+01	6.93E+01	2.80E+00	-2.00E+00
6.05E+04	6.05E-02	1.78E+01	6.66E+01	2.81E+01	6.91E+01	2.78E+00	-2.92E+00
6.28E+04	6.28E-02	1.87E+01	6.67E+01	2.90E+01	6.88E+01	2.76E+00	-3.72E+00
6.52E+04	6.52E-02	1.96E+01	6.67E+01	2.98E+01	6.85E+01	2.74E+00	-4.81E+00
6.78E+04	6.78E-02	2.07E+01	6.65E+01	3.08E+01	6.83E+01	2.72E+00	-5.59E+00
7.04E+04	7.04E-02	2.19E+01	6.64E+01	3.17E+01	6.81E+01	2.69E+00	-6.61E+00
7.31E+04	7.31E-02	2.32E+01	6.57E+01	3.27E+01	6.78E+01	2.66E+00	-7.30E+00
7.59E+04	7.59E-02	2.46E+01	6.49E+01	3.37E+01	6.75E+01	2.63E+00	-8.27E+00
7.89E+04	7.89E-02	2.63E+01	6.38E+01	3.47E+01	6.71E+01	2.60E+00	-8.92E+00
8.19E+04	8.19E-02	2.82E+01	6.24E+01	3.58E+01	6.68E+01	2.58E+00	-9.92E+00
8.51E+04	8.51E-02	3.20E+01	5.88E+01	3.68E+01	6.64E+01	2.52E+00	-1.10E+01
8.84E+04	8.84E-02	3.07E+01	5.89E+01	3.77E+01	6.63E+01	2.43E+00	-1.14E+01
9.18E+04	9.18E-02	3.31E+01	5.60E+01	3.90E+01	6.62E+01	2.41E+00	-1.08E+01
9.54E+04	9.54E-02	3.53E+01	5.26E+01	4.03E+01	6.58E+01	2.40E+00	-1.10E+01
9.91E+04	9.91E-02	3.66E+01	4.57E+01	4.15E+01	6.55E+01	2.37E+00	-1.15E+01
1.03E+05	1.03E-01	3.81E+01	4.51E+01	4.28E+01	6.51E+01	2.34E+00	-1.20E+01
1.07E+05	1.07E-01	3.94E+01	4.09E+01	4.41E+01	6.47E+01	2.31E+00	-1.25E+01
1.11E+05	1.11E-01	4.00E+01	3.67E+01	4.54E+01	6.43E+01	2.28E+00	-1.27E+01
1.15E+05	1.15E-01	4.02E+01	3.26E+01	4.67E+01	6.39E+01	2.24E+00	-1.28E+01
1.20E+05	1.20E-01	3.99E+01	2.86E+01	4.81E+01	6.35E+01	2.21E+00	-1.30E+01
1.24E+05	1.24E-01	3.94E+01	2.58E+01	4.95E+01	6.30E+01	2.18E+00	-1.33E+01
1.29E+05	1.29E-01	3.89E+01	2.25E+01	5.10E+01	6.26E+01	2.15E+00	-1.36E+01
1.34E+05	1.34E-01	3.82E+01	1.99E+01	5.25E+01	6.21E+01	2.10E+00	-1.36E+01
1.40E+05	1.40E-01	3.74E+01	1.76E+01	5.40E+01	6.16E+01	2.08E+00	-1.34E+01
1.45E+05	1.45E-01	3.66E+01	1.56E+01	5.55E+01	6.12E+01	2.04E+00	-1.35E+01
1.51E+05	1.51E-01	3.58E+01	1.40E+01	5.71E+01	6.07E+01	2.01E+00	-1.34E+01
1.56E+05	1.56E-01	3.50E+01	1.26E+01	5.87E+01	6.02E+01	1.98E+00	-1.33E+01
1.62E+05	1.62E-01	3.43E+01	1.14E+01	6.03E+01	5.97E+01	1.95E+00	-1.31E+01
1.69E+05	1.69E-01	3.37E+01	1.04E+01	6.19E+01	5.92E+01	1.92E+00	-1.27E+01
1.75E+05	1.75E-01	3.30E+01	9.62E+00	6.36E+01	5.86E+01	1.89E+00	-1.24E+01
1.82E+05	1.82E-01	3.25E+01	8.96E+00	6.52E+01	5.81E+01	1.87E+00	-1.22E+01
