! fr(GHz) Q Rsh(MOhm)
! Cavities
0.629 500. 0.388
! BPHs
0.840 10. 0.0006
1.066 500. 0.0698
1.076 500. 0.0872
1.608 40 0.0204
1.884 500. 0.109
2.218 15. 0.0091
2.533 384. 0.0018
2.547 340. 0.0075
2.782 20. 0.0026
3.008 450. 0.028
3.223 512. 0.029
3.284 600. 0.120
3.463 805. 0.079
3.643 1040. 0.048
3.761 965. 0.0145
3.9 50. 0.005
4. 1300. 0.0105
4.08 600. 0.0125
4.21 200. 0.010
! BPVs
1.076 700. 0.043
1.100 700. 0.045
1.955 450. 0.0115
2.075 600. 0.0045
2.118 600. 0.0069
2.199 750. 0.0154
2.576 1000. 0.011
2.751 500. 0.0047
3.370 30. 0.0085
5.817 1000. 0.017
5.817 10. 0.005
! Flanges
1.21 315. 0.633
1.28 200. 0.499
1.415 75. 0.364
1.415 270. 0.177
1.415 75. 0.0614
1.415 270. 0.0299
1.395 200. 0.379
1.401 1100. 0.243
1.570 55. 0.0174
1.610 980. 0.588
1.620 60. 0.061
! 1.800 881. 0.651
1.861 810. 0.771
1.890 175. 0.187
2.495 1190 0.814
! Y chambers
0.696 7400. 0.281
0.910 8415. 0.134
1.069 7980. 0.042
1.078 7810. 0.068
1.155 6660. 0.052
1.232 5870. 0.045
1.343 7820. 0.041
